Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
1,Shared,S40_00001_Jig in,Manual,"Crane (1), Transportation Tooling (1)",60,0,60,110
2,Shared,S40_01001_Set up working environment,Manual,"Mechanical Operator (1), Station (1)",10,60,70,42.5
3,Shared,S40_02001_Set in position Rails and LFT,Automatic,"Automation Operator (2), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",10,70,80,72.5
4a,Quarter section 1,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,80,95,83.75
5a,Quarter section 1,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,95,220,697.92
6a,Quarter section 1,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,220,240,111.67
7a,Quarter section 1,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,240,330,502.5
4b,Quarter section 2,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,330,345,83.75
5b,Quarter section 2,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,345,470,697.92
6b,Quarter section 2,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,470,490,111.67
7b,Quarter section 2,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,490,580,502.5
4c,Quarter section 3,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,580,595,83.75
5c,Quarter section 3,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,595,720,697.92
6c,Quarter section 3,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,720,740,111.67
7c,Quarter section 3,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,740,830,502.5
4d,Quarter section 4,S40_04001_Camera at stating holes,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",15,830,845,83.75
5d,Quarter section 4,"S40_04002_Drilling orbital 4,8",Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",125,845,970,697.92
6d,Quarter section 4,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",20,970,990,111.67
7d,Quarter section 4,S40_04010_Riveting buttstraps and stabiliser automatic,Automatic,"Automation Operator (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",90,990,1080,502.5
8,Shared,S40_04014_Deinstall LFT and rails,Automatic,"Automation Operator (2), Station (1), Light Flex Track Rail (1), Light Flex Track Robot (1)",35,1080,1115,195.42
9a,Quarter section 1,S40_04003_Drilling template install,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1115,1140,147.92
10a,Quarter section 1,S40_04004_Fixation drilling template suite manual,Manual,"Mechanical Operator (2), Drilling Template (1)",30,1140,1170,182.5
11a,Quarter section 1,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling temp",Manual,"Mechanical Operator (2), Drilling Template (1), Hand Drilling Machine (2)",185,1170,1355,1187.08
12a,Quarter section 1,S40_04006_Deinstall drilling template,Manual,"Mechanical Operator (2), Drilling Template (1)",25,1355,1380,152.08
13a,Quarter section 1,S40_04007_Set in position temporary fastener,Manual,Mechanical Operator (2),15,1380,1395,88.75
14a,Quarter section 1,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,Mechanical Operator (2),35,1395,1430,116.67
15a,Quarter section 1,S40_04011_Riveting buttstraps and stabiliser manual,Manual,Mechanical Operator (2),180,1430,1610,600
16a,Quarter section 1,"S40_04013_Deburring int, positioning, attach them manual",Manual,Mechanical Operator (2),45,1610,1655,150
17,Shared,S40_02002_Cleanup and add sealant,Manual,Mechanical Operator (2),35,1655,1690,207.08
18,Shared,S40_02003_Inspection,Manual,Mechanical Operator (2),55,1690,1745,325.42
19,Shared,S40_00002_Jig out,Manual,"Crane (1), Transportation Tooling (1)",60,1745,1805,110
