Order,Operation,Type,Required Resources,Duration(min),Start Time(min),End Time(min),Cost(€)
1,S40_00001_Jig in,Manual,"Crane (1), Transportation Tooling (1)",60,0,60,110.00
2,S40_01001_Set up working environment,Manual,"Station (1), Mechanical Operator (1), Station Platform (1)",10,60,70,42.50
3,S40_04003_Drilling template install (1st 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,70,95,147.91
4,S40_04004_Fixation drilling template suite manual (1st 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",30,95,125,182.50
5,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template (1st 1/4)",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,125,310,1187.09
6,S40_04006_Deinstall drilling template (1st 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,310,335,152.08
7,S40_04007_Set in position temporary fastener (1st 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,335,350,88.75
8,S40_04009_Set up the fixations LGP/Hi-Lite manual (1st 1/4),Manual,Mechanical Operator (2),35,350,385,116.67
9,S40_04011_Riveting buttstraps and stabiliser manual (1st 1/4),Manual,Mechanical Operator (2),180,385,565,600.00
10,"S40_04013_Deburring int, positioning, attach them manual (1st 1/4)",Manual,Mechanical Operator (2),45,565,610,150.00
11,S40_04003_Drilling template install (2nd 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,610,635,147.91
12,S40_04004_Fixation drilling template suite manual (2nd 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",30,635,665,182.50
13,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template (2nd 1/4)",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,665,850,1187.09
14,S40_04006_Deinstall drilling template (2nd 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,850,875,152.08
15,S40_04007_Set in position temporary fastener (2nd 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,875,890,88.75
16,S40_04009_Set up the fixations LGP/Hi-Lite manual (2nd 1/4),Manual,Mechanical Operator (2),35,890,925,116.67
17,S40_04011_Riveting buttstraps and stabiliser manual (2nd 1/4),Manual,Mechanical Operator (2),180,925,1105,600.00
18,"S40_04013_Deburring int, positioning, attach them manual (2nd 1/4)",Manual,Mechanical Operator (2),45,1105,1150,150.00
19,S40_04003_Drilling template install (3rd 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,1150,1175,147.91
20,S40_04004_Fixation drilling template suite manual (3rd 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",30,1175,1205,182.50
21,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template (3rd 1/4)",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,1205,1390,1187.09
22,S40_04006_Deinstall drilling template (3rd 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,1390,1415,152.08
23,S40_04007_Set in position temporary fastener (3rd 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,1415,1430,88.75
24,S40_04009_Set up the fixations LGP/Hi-Lite manual (3rd 1/4),Manual,Mechanical Operator (2),35,1430,1465,116.67
25,S40_04011_Riveting buttstraps and stabiliser manual (3rd 1/4),Manual,Mechanical Operator (2),180,1465,1645,600.00
26,"S40_04013_Deburring int, positioning, attach them manual (3rd 1/4)",Manual,Mechanical Operator (2),45,1645,1690,150.00
27,S40_04003_Drilling template install (4th 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,1690,1715,147.91
28,S40_04004_Fixation drilling template suite manual (4th 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",30,1715,1745,182.50
29,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template (4th 1/4)",Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1), Hand Drilling Machine (2)",185,1745,1930,1187.09
30,S40_04006_Deinstall drilling template (4th 1/4),Manual,"Station (1), Mechanical Operator (2), Drilling Template (1), Station Platform (1)",25,1930,1955,152.08
31,S40_04007_Set in position temporary fastener (4th 1/4),Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",15,1955,1970,88.75
32,S40_04009_Set up the fixations LGP/Hi-Lite manual (4th 1/4),Manual,Mechanical Operator (2),35,1970,2005,116.67
33,S40_04011_Riveting buttstraps and stabiliser manual (4th 1/4),Manual,Mechanical Operator (2),180,2005,2185,600.00
34,"S40_04013_Deburring int, positioning, attach them manual (4th 1/4)",Manual,Mechanical Operator (2),45,2185,2230,150.00
35,S40_02002_Cleanup and add sealant,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",35,2230,2265,207.09
36,S40_02003_Inspection,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",55,2265,2320,325.41
37,S40_00002_Jig out,Manual,"Crane (1), Transportation Tooling (1)",60,2320,2380,110.00
