Order,Section,Operation,Type,Required Resources,Duration (min),Start Time (min),End Time (min),Cost (€)
1,Shared,S40_00001_Jig in,Manual,"Crane (1), Transportation Tooling (1)",60,0,60,110
2,Shared,S40_01001_Set up working environment,Manual,"Station (1), Mechanical Operator (1), Station Platform (1)",10,60,70,255
3,Quarter section 1,S40_02001_Set in position Rails and LFT,Auto,"Station (1), Automation Operator (2), Light Flex Track Rail (1), Light Flex Track Robot (1), Station Platform (1)",10,70,80,440
4,Quarter section 1,S40_04001_Camera at stating holes,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",15,80,95,330
5,Quarter section 1,"S40_04002_Drilling orbital 4,8",Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",125,95,220,330
6,Quarter section 1,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",20,220,240,330
7,Quarter section 1,S40_04010_Riveting buttstraps and stabiliser automatic,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",90,240,330,330
8,Quarter section 1,"S40_04012_Deburring int, positioning, attach them automatic",Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",25,330,355,330
9,Quarter section 2,S40_04001_Camera at stating holes,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",15,355,370,330
10,Quarter section 2,"S40_04002_Drilling orbital 4,8",Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",125,370,495,330
11,Quarter section 2,S40_04008_Set up the fixations LGP/Hi-Lite automatic,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",20,495,515,330
12,Quarter section 2,S40_04010_Riveting buttstraps and stabiliser automatic,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",90,515,605,330
13,Quarter section 2,"S40_04012_Deburring int, positioning, attach them automatic",Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",25,605,630,330
14,Quarter section 3,S40_04003_Drilling template install,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,630,655,310
14a,Quarter section 4,S40_04003_Drilling template install,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,630,655,310
15,Quarter section 3,S40_04004_Fixation drilling template suite manual,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",30,655,685,310
15a,Quarter section 4,S40_04004_Fixation drilling template suite manual,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",30,655,685,310
16,Quarter section 3,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Station (1), Mechanical Operator (2), Station Platform (1), Hand Drilling Machine (2)",185,685,870,445
16a,Quarter section 4,"S40_04005_Drilling (with adapter) 3,2 on Stringers int and drilling template",Manual,"Station (1), Mechanical Operator (2), Station Platform (1), Hand Drilling Machine (2)",185,685,870,445
17,Quarter section 3,S40_04006_Deinstall drilling template,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,870,895,310
17a,Quarter section 4,S40_04006_Deinstall drilling template,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",25,870,895,310
18,Quarter section 3,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,"Mechanical Operator (2), Station Platform (1)",35,895,930,250
18a,Quarter section 4,S40_04009_Set up the fixations LGP/Hi-Lite manual,Manual,"Mechanical Operator (2), Station Platform (1)",35,895,930,250
19,Quarter section 3,S40_04011_Riveting buttstraps and stabiliser manual,Manual,"Mechanical Operator (2), Station Platform (1)",180,930,1110,350
19a,Quarter section 4,S40_04011_Riveting buttstraps and stabiliser manual,Manual,"Mechanical Operator (2), Station Platform (1)",180,930,1110,350
20,Quarter section 3,"S40_04013_Deburring int, positioning, attach them manual",Manual,"Mechanical Operator (2), Station Platform (1)",45,1110,1155,290
20a,Quarter section 4,"S40_04013_Deburring int, positioning, attach them manual",Manual,"Mechanical Operator (2), Station Platform (1)",45,1110,1155,290
21,Shared,S40_04014_Deinstall LFT and rails,Auto,"Station (1), Automation Operator (1), Light Flex Track Rail (1), Station Platform (1)",35,1155,1190,330
22,Shared,S40_02002_Cleanup and add sealant,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",35,1190,1225,310
23,Shared,S40_02003_Inspection,Manual,"Station (1), Mechanical Operator (2), Station Platform (1)",55,1225,1280,310
24,Shared,S40_00002_Jig out,Manual,"Crane (1), Transportation Tooling (1)",60,1280,1340,110
