ID,TP_1,FP_1,FN_1,TP_2,FP_2,FN_2,TP_3,FP_3,FN_3,TP_4,FP_4,FN_4,TP_5,FP_5,FN_5
F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
U2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U3,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0
U4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U6,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
U7,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U8,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U9,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U10,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U12,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U13,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U14,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U15,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U16,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U17,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U18,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U19,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
U20,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
V1,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0
V2,2,0,0,2,0,0,2,0,0,2,0,0,1,0,1
V3,2,0,0,2,0,0,1,0,1,1,0,1,2,0,0
V4,2,0,0,1,0,1,1,0,1,2,0,0,2,0,0
V5,1,0,1,2,0,0,2,0,0,2,0,0,2,0,0
T1,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0
T2,2,0,1,3,0,0,2,0,1,2,0,1,2,0,1
T3,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0
T4,3,0,0,3,0,0,3,0,0,3,0,0,2,0,1
T5,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0
